Unnamed: 0,Loan_Status,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
0,1,1,0,0,1,0,5849,0,131,360,1,2
1,0,1,1,1,1,0,4583,1508,128,360,1,0
2,1,1,1,0,1,1,3000,0,66,360,1,2
3,1,1,1,0,0,0,2583,2358,120,360,1,2
4,1,1,0,0,1,0,6000,0,141,360,1,2
5,1,1,1,2,1,1,5417,4196,267,360,1,2
6,1,1,1,0,0,0,2333,1516,95,360,1,2
7,0,1,1,3,1,0,3036,2504,158,360,0,1
8,1,1,1,2,1,0,4006,1526,168,360,1,2
9,0,1,1,1,1,0,12841,10968,349,360,1,1
10,1,1,1,2,1,0,3200,700,70,360,1,2
11,1,1,1,2,1,0,2500,1840,109,360,1,2
12,1,1,1,2,1,0,3073,8106,200,360,1,2
13,0,1,0,0,1,0,1853,2840,114,360,1,0
14,1,1,1,2,1,0,1299,1086,17,120,1,2
15,1,1,0,0,1,0,4950,0,125,360,1,2
16,1,1,0,1,0,0,3596,0,100,240,1,2
17,0,0,0,0,1,0,3510,0,76,360,0,2
18,0,1,1,0,0,0,4887,0,133,360,1,0
19,1,1,1,0,1,0,2600,3500,115,358,1,2
20,0,1,1,0,0,0,7660,0,104,360,0,2
21,1,1,1,1,1,0,5955,5625,315,360,1,2
22,0,1,1,0,0,0,2600,1911,116,360,0,1
23,0,1,1,2,0,0,3365,1917,112,360,0,0
24,0,1,1,1,1,0,3717,2925,151,360,0,1
25,1,1,1,0,1,1,9560,0,191,360,1,1
26,1,1,1,0,1,0,2799,2253,122,360,1,1
27,1,1,1,2,0,0,4226,1040,110,360,1,2
28,0,1,0,0,0,0,1442,0,35,360,1,2
29,1,0,0,2,1,0,3750,2083,120,360,1,1
30,0,1,1,1,1,0,4166,3369,201,360,1,2
31,0,1,0,0,1,0,3167,0,74,360,1,2
32,0,1,0,1,1,1,4692,0,106,360,1,0
33,1,1,1,0,1,0,3500,1667,114,360,1,1
34,1,1,1,0,1,0,2275,2067,131,360,1,2
35,0,1,1,0,1,0,1828,1330,100,358,0,2
36,1,0,1,0,1,0,3667,1459,144,360,1,1
37,1,1,0,0,1,0,4166,7210,184,360,1,2
38,1,1,0,0,0,0,3748,1668,110,360,1,1
39,0,1,0,0,1,0,3600,0,80,360,1,2
40,1,1,0,0,1,0,1800,1213,47,360,1,2
41,1,1,1,0,1,0,2400,0,75,360,1,2
42,1,1,1,0,1,0,3941,2336,134,360,1,1
43,1,1,1,0,0,1,4695,0,96,358,1,2
44,1,0,0,0,1,0,3410,0,88,358,1,2
45,1,1,1,1,1,0,5649,0,44,360,1,2
46,1,1,1,0,1,0,5821,0,144,360,1,2
47,0,0,1,0,1,0,2645,3440,120,360,0,2
48,1,0,0,0,1,0,4000,2275,144,360,1,1
49,1,0,1,0,0,0,1928,1644,100,360,1,1
50,1,0,0,0,1,0,3086,0,120,360,1,1
51,0,0,0,0,1,0,4230,0,112,360,1,1
52,0,1,1,2,1,0,4616,0,134,360,1,2
53,1,1,1,2,1,0,2708,1167,97,360,1,1
54,1,1,1,0,1,0,2132,1591,96,360,1,1
55,0,1,1,0,1,0,3366,2200,135,360,1,0
56,1,1,1,1,1,0,8080,2250,180,360,1,2
57,1,1,1,2,0,0,3357,2859,144,360,1,2
58,1,1,1,0,1,0,2500,3796,120,360,1,2
59,1,1,1,3,1,0,3029,0,99,360,1,2
60,0,1,1,1,1,0,4945,0,131,360,0,0
61,0,0,0,0,1,0,4166,0,116,360,0,1
62,0,1,1,0,1,0,5726,4595,258,360,1,1
63,1,1,1,1,1,0,10750,0,312,360,1,2
64,0,0,0,0,1,0,4300,0,136,360,0,1
65,1,1,1,0,1,0,3208,3066,172,360,1,2
66,1,1,1,2,0,1,1875,1875,97,360,1,1
67,1,1,0,0,1,0,3500,0,81,300,1,1
68,0,1,1,3,0,0,4755,0,95,358,0,1
69,1,1,1,3,1,1,5266,1774,187,360,1,1
70,0,1,0,0,1,0,3750,0,113,480,1,2
71,0,1,0,0,1,0,3750,4750,176,360,1,2
72,0,1,1,1,1,1,1000,3022,110,360,1,2
73,0,1,1,3,1,0,3167,4000,180,300,0,1
74,1,0,0,0,1,0,3846,0,111,360,1,1
75,1,1,1,1,1,1,2395,0,131,360,1,1
76,0,0,1,2,1,0,1378,1881,167,360,1,2
77,0,1,1,0,1,0,6000,2250,265,360,1,1
78,1,1,1,1,1,0,3988,0,50,240,1,2
79,1,1,0,0,1,0,2366,2531,136,360,1,1
80,1,1,1,2,0,0,3333,2000,99,360,1,1
81,1,1,1,0,1,0,2500,2118,104,360,1,1
82,1,1,0,0,1,0,8566,0,210,360,1,2
83,1,1,1,0,1,0,5695,4167,175,360,1,1
84,1,1,1,0,1,0,2958,2900,131,360,1,1
85,1,1,1,2,1,0,6250,5654,188,180,1,1
86,1,1,1,2,0,0,3273,1820,81,360,1,2
87,1,1,0,0,1,0,4133,0,122,360,1,1
88,0,1,0,0,1,0,6782,0,131,360,1,2
89,1,0,1,0,1,0,2484,2302,137,360,1,1
90,1,1,1,0,1,0,1977,997,50,360,1,1
91,1,1,1,0,0,0,4188,0,115,180,1,1
92,1,1,1,0,1,0,1759,3541,131,360,1,1
93,1,1,1,2,0,0,4288,3263,133,180,1,2
94,1,1,0,0,1,0,4843,3806,151,360,1,1
95,1,1,1,0,1,0,13650,0,131,360,1,2
96,1,1,1,0,1,0,4652,3583,131,360,1,1
97,1,1,1,1,1,0,3052,1030,100,360,1,2
98,1,1,1,2,1,0,11417,1126,225,360,1,2
99,0,1,0,0,0,0,7333,0,120,360,1,0
