Unnamed: 0,Loan_Status,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
182,1,1,0,2,1,0,4923,0,166,360,0,1
124,0,0,1,0,1,0,4583,0,84,360,1,0
393,1,1,0,3,0,0,4707,1993,148,360,1,1
225,1,1,1,1,1,0,2882,1843,123,480,1,1
235,1,1,0,0,1,0,2060,2209,134,360,1,1
176,0,1,1,1,1,0,3125,2583,170,360,1,1
537,1,1,1,2,1,0,5780,0,192,360,1,2
305,1,0,0,0,1,0,4160,0,71,360,1,1
499,1,1,1,0,1,0,3887,2669,162,360,1,1
383,1,1,0,0,0,0,2717,0,60,180,1,2
274,1,1,0,0,1,0,4000,2500,140,360,1,0
312,0,1,1,0,0,0,3523,3230,152,360,0,0
367,0,1,1,1,1,0,8300,0,152,300,0,1
321,1,1,1,2,1,0,8333,3167,165,360,1,0
472,1,1,0,0,0,0,6783,0,130,360,1,1
19,1,1,1,0,1,0,2600,3500,115,358,1,2
380,0,0,0,1,0,0,4606,0,81,360,1,0
56,1,1,1,1,1,0,8080,2250,180,360,1,2
390,1,1,1,0,1,0,2213,1125,131,360,1,2
281,1,1,0,0,0,0,2927,2405,111,360,1,1
395,1,1,1,0,1,0,7333,8333,175,300,1,0
471,1,1,0,1,0,0,2679,1302,94,360,1,1
257,1,1,0,0,1,0,3158,3053,89,360,1,0
488,1,1,0,0,1,0,2526,1783,145,360,1,0
192,0,1,1,3,1,0,3430,1250,128,360,0,1
25,1,1,1,0,1,1,9560,0,191,360,1,1
290,1,1,1,3,1,0,4342,189,124,360,1,1
42,1,1,1,0,1,0,3941,2336,134,360,1,1
349,1,1,1,0,1,0,2333,2417,136,360,1,2
523,0,1,1,1,1,0,2787,1917,146,360,0,0
469,1,1,1,0,1,0,3775,0,110,360,1,1
399,0,1,1,2,1,0,3340,1710,150,360,0,0
318,1,1,1,3,1,0,2666,2083,95,360,1,0
154,1,1,1,0,1,0,2439,3333,129,360,1,0
126,0,1,0,0,1,0,14999,0,242,360,0,1
287,1,0,0,1,1,0,3541,0,112,360,1,1
374,1,1,1,0,1,0,3246,1417,138,360,1,1
174,1,1,0,0,1,0,3858,0,76,360,1,1
31,0,1,0,0,1,0,3167,0,74,360,1,2
113,1,0,0,0,1,0,4166,0,44,360,1,1
304,1,1,1,2,1,1,2500,4600,176,360,1,0
173,0,1,1,0,0,0,6033,0,160,360,1,2
362,1,1,0,0,1,0,2500,20000,103,360,1,1
208,1,1,0,0,1,1,6400,0,200,360,1,0
57,1,1,1,2,0,0,3357,2859,144,360,1,2
255,1,0,0,0,1,0,1811,1666,54,360,1,2
24,0,1,1,1,1,0,3717,2925,151,360,0,1
17,0,0,0,0,1,0,3510,0,76,360,0,2
237,1,1,0,0,1,1,5166,0,128,360,1,1
66,1,1,1,2,0,1,1875,1875,97,360,1,1
249,1,1,1,0,1,0,3993,3274,207,360,1,1
528,0,1,1,2,1,1,2726,0,106,360,0,1
265,1,1,1,3,1,0,4416,1250,110,360,1,2
451,1,1,1,0,1,0,20833,6667,480,360,1,2
446,1,0,0,0,1,0,3159,0,100,360,1,1
94,1,1,0,0,1,0,4843,3806,151,360,1,1
180,0,1,0,0,1,1,11000,0,83,360,1,2
234,1,1,1,1,1,0,6083,4250,330,360,1,2
92,1,1,1,0,1,0,1759,3541,131,360,1,1
23,0,1,1,2,0,0,3365,1917,112,360,0,0
